year,month,central_lat,central_lon,mean_flux,TPM_flux,CO2_flux,CO_flux,CH4_flux
2020,August,-6.25,-59.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-59.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-58.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-58.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-57.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-57.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-56.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-56.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-55.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-55.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-54.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-54.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-53.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-53.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-52.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-52.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-51.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-51.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-50.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-50.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-49.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-49.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-48.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-48.25,0.00508852070197463,0.00024221358762588352,0.0451018400490284,0.0028954269364476204,0.00018096418352797627
2020,August,-6.75,-71.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-71.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-70.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-70.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-69.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-69.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-68.75,0.0,0.0,0.0,0.0,0.0
